TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,LOGICAL_NAME,TABLE_TYPE,DESCRIPTION,TAG
172.16.0.13/cobol_analysis_db,public,analysis_tasks,status,,3,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,target_sources,,4,,NO,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,task_parameters,,5,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,error_detail,,6,,YES,text,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,started_at,,7,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,completed_at,,8,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,created_at,,9,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,updated_at,,10,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_category,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_key,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_value,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_description,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,standard_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,update_user,,7,,YES,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,created_at,,8,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,updated_at,,9,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,component_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,display_order,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,is_required,,7,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,layout_config,,8,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,style_config,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
